brand,year,selling_price,km_driven,fuel_type,transmission,owner_type
Ford,2008,3.0,234136,Diesel,Manual,First Owner
Ford,2006,3.0,227020,Diesel,Automatic,First Owner
Tata,2010,9.026069023838701,30275,Petrol,Manual,Third Owner
Hyundai,2020,3.0,247837,Petrol,Manual,Second Owner
Volkswagen,2014,6.8583943515690935,160597,Petrol,Manual,Second Owner
Nissan,2019,7.892569481277697,140655,Diesel,Manual,Third Owner
Maruti,2013,3.0,199119,Petrol,Manual,First Owner
Skoda,2013,7.447126797729684,123688,Diesel,Manual,First Owner
Skoda,2015,14.467404846683392,70032,Petrol,Automatic,Third Owner
Toyota,2022,18.964900697074164,134766,Petrol,Manual,First Owner
Bmw,2012,28.39029820480605,182644,Diesel,Manual,Second Owner
Mahindra,2015,4.814409258677846,172258,Petrol,Manual,First Owner
Mercedes,2021,55.98118264175806,46624,Diesel,Manual,Second Owner
Audi,2011,26.155360901809082,234844,Petrol,Manual,Fourth & Above Owner
Honda,2020,14.099145890184738,74763,Petrol,Manual,First Owner
Hyundai,2014,5.08440078692642,205893,Diesel,Manual,First Owner
Kia,2020,14.29641884679882,81396,Diesel,Automatic,Fourth & Above Owner
Ford,2013,14.258078945074084,20535,Petrol,Manual,First Owner
Nissan,2016,3.0,249126,Petrol,Manual,Second Owner
Audi,2010,34.08728204390549,149252,Diesel,Automatic,Third Owner
Mercedes,2016,55.89292813458547,57570,Lpg,Manual,First Owner
Mercedes,2010,56.37244939808754,5079,Diesel,Manual,First Owner
Mahindra,2015,12.476766201127283,36655,Diesel,Automatic,First Owner
Honda,2019,17.175843110562376,46622,Petrol,Manual,First Owner
Renault,2012,3.0,231794,Diesel,Manual,First Owner
Renault,2012,7.964775197079608,48366,Diesel,Manual,First Owner
Maruti,2010,4.789542484251523,44673,Diesel,Automatic,First Owner
Volkswagen,2018,3.0,210262,Diesel,Manual,Second Owner
Mahindra,2015,3.0,220423,Diesel,Automatic,First Owner
Mercedes,2014,49.958414263864256,56200,Diesel,Manual,First Owner
Audi,2005,28.582624743440032,164361,Petrol,Manual,First Owner
Nissan,2006,3.0,135939,Petrol,Automatic,Second Owner
Mercedes,2005,41.031118038185795,146331,Lpg,Automatic,First Owner
Honda,2020,14.84106159765356,81274,Petrol,Manual,First Owner
Kia,2020,12.133735301329512,189077,Petrol,Manual,Fourth & Above Owner
Ford,2006,3.0,220840,Petrol,Manual,Second Owner
Toyota,2005,7.105546252869979,182869,Diesel,Manual,Second Owner
Nissan,2019,3.0,226273,Diesel,Manual,Second Owner
Honda,2014,15.006046730451152,32078,Diesel,Manual,First Owner
Hyundai,2010,3.287936154489534,165978,Petrol,Automatic,First Owner
Renault,2016,3.0,249869,Petrol,Manual,First Owner
Mercedes,2009,45.029713945547066,136240,Petrol,Manual,Third Owner
Mahindra,2008,3.0,235762,Diesel,Manual,Fourth & Above Owner
Ford,2011,8.527079106612069,90352,Petrol,Manual,Second Owner
Hyundai,2021,3.0,224665,Diesel,Manual,First Owner
Audi,2018,23.45057794932013,235006,Diesel,Manual,Second Owner
Renault,2008,3.0,157460,Diesel,Manual,Second Owner
Toyota,2015,11.683496833537047,177624,Diesel,Manual,First Owner
Tata,2020,4.973419887222785,133083,Diesel,Manual,First Owner
Volkswagen,2022,11.881426256034626,82654,Diesel,Automatic,First Owner
Audi,2018,34.29069493387982,136388,Petrol,Manual,First Owner
Kia,2007,3.0,240796,Petrol,Manual,Second Owner
Ford,2009,12.661372782657581,8659,Petrol,Manual,First Owner
Mahindra,2008,16.424006533339636,55246,Petrol,Manual,Second Owner
Skoda,2007,5.845599340063842,127370,Diesel,Automatic,First Owner
Bmw,2008,37.71981321016286,88156,Petrol,Manual,First Owner
Audi,2010,32.69870176530583,157823,Diesel,Automatic,Second Owner
Hyundai,2014,12.675202056687672,93335,Petrol,Manual,Second Owner
Toyota,2012,15.34508667877815,166383,Diesel,Automatic,Third Owner
Mercedes,2012,51.93586619153044,31049,Petrol,Manual,Second Owner
Skoda,2009,8.58379476695602,86374,Petrol,Manual,Third Owner
Ford,2007,3.0,174738,Petrol,Manual,First Owner
Skoda,2022,11.05441093706672,120464,Diesel,Manual,Second Owner
Skoda,2015,3.0,179850,Petrol,Manual,First Owner
Honda,2009,5.585941872816895,160896,Diesel,Manual,Second Owner
Nissan,2019,12.349992002807213,85481,Diesel,Manual,Second Owner
Toyota,2019,25.221887837379963,109934,Lpg,Manual,First Owner
Tata,2022,3.0,241349,Diesel,Manual,Second Owner
Audi,2007,22.168691553427703,240723,Diesel,Manual,Second Owner
Bmw,2016,46.65402233391669,13717,Diesel,Manual,First Owner
Mahindra,2022,10.490005782166062,177833,Petrol,Automatic,Second Owner
Skoda,2019,7.089265611029468,125289,Diesel,Manual,Third Owner
Mahindra,2009,16.343853814969055,5312,Petrol,Manual,First Owner
Skoda,2021,7.873050227979971,160358,Diesel,Manual,Second Owner
Maruti,2012,14.148603153992699,10703,Petrol,Manual,Third Owner
Mercedes,2013,48.05476085612983,83109,Petrol,Manual,First Owner
Mercedes,2015,41.0397869123466,174123,Diesel,Manual,First Owner
Mercedes,2018,40.394421351084475,204102,Petrol,Automatic,Second Owner
Bmw,2007,36.63623566265803,106098,Petrol,Automatic,Second Owner
Renault,2014,3.0,203146,Petrol,Manual,Third Owner
Audi,2019,24.669562879434118,210670,Diesel,Manual,Second Owner
Toyota,2014,17.094217812439396,114648,Petrol,Manual,Second Owner
Mercedes,2009,51.20046947048745,47388,Petrol,Manual,First Owner
Volkswagen,2006,3.0,166503,Lpg,Manual,First Owner
Ford,2014,13.798002458509384,8387,Cng,Manual,Second Owner
Renault,2017,3.0,223838,Petrol,Manual,First Owner
Volkswagen,2014,10.362718632023963,100080,Petrol,Manual,Fourth & Above Owner
Maruti,2022,3.0,191206,Petrol,Manual,First Owner
Mahindra,2015,5.760476942823423,185335,Cng,Manual,First Owner
Tata,2014,3.657912961441398,120851,Petrol,Manual,Third Owner
Hyundai,2005,3.0,243073,Petrol,Manual,First Owner
Ford,2015,3.0,200096,Petrol,Manual,First Owner
Audi,2008,22.527723920656587,221495,Diesel,Automatic,Third Owner
Bmw,2018,44.7186631742197,28006,Petrol,Automatic,Third Owner
Renault,2007,3.0,123598,Diesel,Automatic,First Owner
Skoda,2021,3.0,238231,Petrol,Automatic,First Owner
Volkswagen,2010,3.0,204140,Diesel,Manual,Second Owner
Hyundai,2012,5.1349980807557865,116256,Diesel,Manual,First Owner
Mercedes,2007,52.43303560282284,22230,Petrol,Manual,First Owner
Volkswagen,2008,11.359516075382983,74143,Petrol,Manual,First Owner
Bmw,2021,36.284303830392325,145206,Petrol,Manual,Third Owner
Volkswagen,2010,3.0,162253,Diesel,Manual,First Owner
Volkswagen,2014,3.0,231453,Petrol,Automatic,Third Owner
Hyundai,2022,15.119206834736136,27751,Diesel,Manual,First Owner
Volkswagen,2016,15.340016580232637,102114,Petrol,Manual,Second Owner
Mercedes,2005,48.47316254079237,71661,Diesel,Automatic,Second Owner
Toyota,2011,10.627775357379756,240224,Diesel,Manual,First Owner
Bmw,2011,41.69367314026952,45695,Petrol,Manual,Second Owner
Maruti,2009,7.268098165171275,59067,Petrol,Manual,First Owner
Honda,2009,11.379078634236132,77965,Diesel,Automatic,Third Owner
Ford,2014,13.336296865759682,30880,Petrol,Automatic,Second Owner
Kia,2011,7.210969606321016,162649,Diesel,Manual,First Owner
Tata,2010,3.0,133566,Cng,Manual,Second Owner
Toyota,2012,16.48915429727371,141626,Petrol,Automatic,Third Owner
Ford,2011,3.0,227275,Petrol,Manual,First Owner
Kia,2009,9.970014790332119,111111,Petrol,Manual,First Owner
Skoda,2013,16.880874703173035,81263,Petrol,Manual,Third Owner
Maruti,2021,10.718407638606225,96976,Lpg,Manual,First Owner
Tata,2014,3.0,201039,Lpg,Manual,Second Owner
Skoda,2015,5.069082138251925,134463,Petrol,Automatic,First Owner
Maruti,2022,11.488225581261908,46453,Cng,Manual,Second Owner
Skoda,2016,3.0,174002,Petrol,Manual,First Owner
Toyota,2009,11.491101462138113,187664,Lpg,Manual,First Owner
Nissan,2012,6.977593863916541,66231,Diesel,Manual,Third Owner
Toyota,2013,16.91474491246627,141471,Petrol,Manual,Second Owner
Ford,2013,3.0,143098,Diesel,Manual,First Owner
Bmw,2007,40.487610868643536,47879,Diesel,Manual,Second Owner
Hyundai,2006,11.50400635409483,7235,Petrol,Manual,First Owner
Volkswagen,2011,3.0,180931,Petrol,Manual,First Owner
Renault,2021,4.425011710464476,155778,Diesel,Manual,Second Owner
Mercedes,2017,44.06787075175983,179870,Petrol,Automatic,Fourth & Above Owner
Kia,2020,13.343000505889593,97448,Petrol,Automatic,First Owner
Bmw,2008,31.582203334789007,131281,Petrol,Manual,Third Owner
Ford,2012,3.0,245508,Diesel,Automatic,Second Owner
Ford,2015,6.079702697109075,60239,Petrol,Manual,First Owner
Ford,2012,3.1236064121958607,164938,Petrol,Automatic,Second Owner
Skoda,2012,17.060238717768215,37412,Petrol,Manual,First Owner
Toyota,2011,25.201831668667133,21094,Petrol,Manual,Third Owner
Mahindra,2005,3.0,239527,Diesel,Manual,Second Owner
Honda,2020,18.097430009970658,36806,Petrol,Manual,First Owner
Maruti,2021,3.1042138134410564,165674,Diesel,Manual,First Owner
Hyundai,2006,4.276449135314004,130980,Petrol,Manual,First Owner
Hyundai,2012,3.0,203264,Diesel,Manual,First Owner
Mercedes,2014,45.67075358826808,138918,Petrol,Manual,Fourth & Above Owner
Audi,2019,30.489332384236455,175757,Diesel,Automatic,Third Owner
Audi,2022,28.0070516193901,224062,Petrol,Manual,Third Owner
Ford,2012,3.0,208221,Diesel,Manual,Second Owner
Audi,2018,28.249776010573644,181855,Petrol,Manual,First Owner
Mahindra,2021,22.765603014115037,44810,Petrol,Manual,Second Owner
Nissan,2019,11.360869633324931,46506,Diesel,Manual,First Owner
Renault,2010,3.0,126752,Petrol,Manual,First Owner
Kia,2019,11.096388775331429,166419,Petrol,Manual,First Owner
Mahindra,2012,5.845935473366108,168445,Diesel,Manual,Third Owner
Renault,2005,3.0,197735,Diesel,Manual,Second Owner
Audi,2018,41.979791138347025,30330,Diesel,Manual,First Owner
Renault,2020,11.977463538431948,47493,Lpg,Automatic,Third Owner
Ford,2011,13.8350671078633,41739,Petrol,Automatic,Third Owner
Mahindra,2013,6.741818768046644,137557,Petrol,Manual,Second Owner
Honda,2011,5.106204197018403,160325,Diesel,Manual,First Owner
Tata,2007,10.081760828794762,33306,Petrol,Automatic,First Owner
Toyota,2022,13.329030092903219,217832,Petrol,Manual,First Owner
Audi,2005,37.676425028823154,79344,Petrol,Manual,Second Owner
Bmw,2015,36.19383801938049,166801,Petrol,Manual,Second Owner
Bmw,2005,25.013130807016257,189148,Petrol,Manual,First Owner
Honda,2017,21.327844765910836,13870,Petrol,Automatic,First Owner
Kia,2021,3.0,216880,Diesel,Automatic,Second Owner
Hyundai,2016,3.0,242756,Diesel,Manual,Third Owner
Honda,2015,3.0,239865,Cng,Manual,First Owner
Hyundai,2019,16.619329227409935,39179,Petrol,Automatic,Second Owner
Honda,2022,12.350615701308408,101201,Petrol,Manual,Fourth & Above Owner
Kia,2020,15.967169349401829,61977,Diesel,Manual,Second Owner
Honda,2009,5.76403729573876,115446,Petrol,Manual,First Owner
Nissan,2015,3.0,243866,Petrol,Automatic,Second Owner
Renault,2019,3.0,191965,Diesel,Manual,Third Owner
Audi,2010,25.473066940074354,193903,Diesel,Manual,Second Owner
Ford,2017,5.1505433717823355,108373,Petrol,Manual,First Owner
Tata,2005,3.0,234461,Diesel,Manual,First Owner
Mercedes,2020,38.581385091742895,230413,Diesel,Manual,First Owner
Kia,2016,4.594395054796666,202621,Diesel,Automatic,First Owner
Tata,2018,3.0,204546,Petrol,Automatic,Second Owner
Mercedes,2019,40.61426918271911,164674,Diesel,Manual,First Owner
Tata,2008,10.48133638256041,28357,Diesel,Manual,Second Owner
Audi,2013,34.571756050444066,74715,Petrol,Automatic,Second Owner
Mercedes,2020,39.75835092762069,193354,Diesel,Manual,Second Owner
Ford,2007,9.067011924378138,85085,Diesel,Manual,First Owner
Mercedes,2019,56.49305247614754,47236,Petrol,Manual,First Owner
Toyota,2010,11.59723417539061,237081,Petrol,Manual,First Owner
Hyundai,2015,7.041481681116084,124644,Petrol,Manual,Third Owner
Hyundai,2014,3.0,215853,Diesel,Manual,First Owner
Ford,2017,11.688908072503306,74620,Petrol,Manual,First Owner
Nissan,2020,9.192899387202624,93075,Petrol,Manual,First Owner
Hyundai,2011,4.558819283730601,89107,Petrol,Manual,Second Owner
Ford,2008,3.0,96450,Diesel,Manual,Second Owner
Audi,2012,33.37411587290061,112208,Diesel,Manual,Fourth & Above Owner
Tata,2016,4.1152159665193295,77935,Petrol,Manual,First Owner
Audi,2018,26.447393860581656,204480,Petrol,Automatic,First Owner
Toyota,2018,23.62718743014043,84901,Petrol,Automatic,Second Owner
Skoda,2011,11.791020696967045,113171,Petrol,Manual,First Owner
Volkswagen,2021,3.0,215863,Diesel,Manual,First Owner
Volkswagen,2006,4.706153606945673,112102,Petrol,Automatic,Third Owner
Mahindra,2007,13.215497234269208,7574,Diesel,Manual,Second Owner
Ford,2005,9.44962204485997,5119,Diesel,Automatic,First Owner
Skoda,2021,14.228068859249678,111832,Diesel,Manual,Fourth & Above Owner
Maruti,2008,3.0,163886,Petrol,Manual,First Owner
Mercedes,2015,37.21197364382398,235995,Petrol,Manual,First Owner
Renault,2019,10.53879545102874,37047,Petrol,Manual,First Owner
Audi,2018,35.51734474496118,137945,Cng,Automatic,First Owner
Bmw,2022,41.76698888058808,75791,Diesel,Manual,First Owner
Ford,2005,5.173230014363003,115359,Diesel,Manual,Third Owner
Toyota,2012,18.511490885733416,113446,Diesel,Manual,Fourth & Above Owner
Bmw,2014,41.08848282562662,81530,Petrol,Automatic,Second Owner
Mahindra,2017,19.217933616504844,9466,Diesel,Automatic,Third Owner
Volkswagen,2016,17.103623634057982,23108,Diesel,Manual,First Owner
Hyundai,2015,10.179968958679884,132985,Petrol,Manual,First Owner
Bmw,2010,39.506080315682354,59999,Lpg,Manual,First Owner
Bmw,2006,36.750361151469825,85120,Diesel,Manual,Second Owner
Hyundai,2012,11.446971200607628,27162,Lpg,Automatic,First Owner
Mercedes,2009,51.81273121717611,17155,Diesel,Manual,First Owner
Ford,2014,9.768477983699269,36041,Petrol,Automatic,Fourth & Above Owner
Mercedes,2019,50.3089029173879,97431,Diesel,Manual,First Owner
Maruti,2014,7.852674164941977,45061,Petrol,Automatic,Second Owner
Mahindra,2015,12.947413939820386,61700,Diesel,Automatic,First Owner
Renault,2005,3.0,78997,Petrol,Manual,Second Owner
Mahindra,2016,17.452538093262692,76373,Diesel,Automatic,Second Owner
Toyota,2012,32.19358555333119,7699,Petrol,Manual,First Owner
Bmw,2007,42.871574558776445,33754,Petrol,Manual,First Owner
Mahindra,2008,3.0,237785,Petrol,Manual,Second Owner
Audi,2019,28.498561219413823,168659,Diesel,Manual,Second Owner
Hyundai,2021,11.111944729971572,35335,Petrol,Manual,First Owner
Mahindra,2014,15.037339218810112,74507,Petrol,Manual,First Owner
Volkswagen,2022,14.453563799472835,98871,Petrol,Manual,First Owner
Mercedes,2008,36.56409781742603,226889,Petrol,Manual,First Owner
Mahindra,2010,3.0,220484,Cng,Manual,Third Owner
Toyota,2021,17.46179691382986,193754,Petrol,Manual,First Owner
Nissan,2008,8.884076426436652,31109,Petrol,Automatic,First Owner
Kia,2016,13.609908396087818,125172,Petrol,Manual,Second Owner
Volkswagen,2008,6.785287710228644,123483,Petrol,Manual,Third Owner
Ford,2010,3.0,161192,Petrol,Automatic,First Owner
Honda,2013,3.0,211971,Petrol,Manual,Second Owner
Bmw,2011,38.289944635420106,83638,Petrol,Manual,Second Owner
Volkswagen,2020,6.531377344169265,141455,Petrol,Manual,First Owner
Toyota,2022,27.605881106929836,69633,Petrol,Automatic,First Owner
Maruti,2014,9.776562489101275,56534,Diesel,Manual,Third Owner
Mahindra,2014,15.080673869211811,81763,Petrol,Automatic,First Owner
Kia,2005,3.0,185199,Diesel,Manual,First Owner
Ford,2009,5.082637680186121,112267,Diesel,Manual,Second Owner
Renault,2005,3.0,171928,Diesel,Manual,First Owner
Renault,2020,3.0,174332,Petrol,Automatic,First Owner
Mercedes,2009,46.87100522360535,93735,Diesel,Automatic,First Owner
Maruti,2011,3.0,238985,Diesel,Automatic,First Owner
Hyundai,2020,16.21579792915968,16342,Lpg,Manual,Second Owner
Toyota,2017,11.816118350953154,224741,Diesel,Manual,First Owner
Renault,2016,15.110743385471325,6926,Petrol,Automatic,First Owner
Audi,2005,31.283428426925298,98676,Cng,Manual,Second Owner
Renault,2015,3.0,207221,Diesel,Manual,Second Owner
Ford,2015,3.0,172640,Petrol,Manual,Second Owner
Kia,2010,11.755355115744994,83781,Petrol,Manual,First Owner
Mahindra,2018,3.0,221971,Cng,Manual,First Owner
Volkswagen,2021,15.1229366579358,38753,Petrol,Automatic,Fourth & Above Owner
Volkswagen,2009,3.0,169323,Diesel,Manual,First Owner
Renault,2010,3.0,132045,Petrol,Automatic,First Owner
Skoda,2010,10.482309723674193,55753,Diesel,Manual,Second Owner
Toyota,2020,9.05303243491824,230604,Petrol,Automatic,Third Owner
Kia,2006,3.0,192548,Diesel,Manual,Third Owner
Toyota,2021,28.92262979816983,7077,Petrol,Manual,First Owner
Volkswagen,2018,21.058319311153525,26277,Cng,Manual,Fourth & Above Owner
Renault,2013,13.309696117039893,18755,Petrol,Manual,First Owner
Skoda,2015,13.56260327009771,106775,Petrol,Manual,Third Owner
Ford,2021,5.038957363883265,107176,Petrol,Manual,First Owner
Toyota,2018,15.76658683551855,182375,Petrol,Manual,Fourth & Above Owner
Maruti,2009,3.0,170611,Lpg,Manual,Third Owner
Honda,2005,18.16161543119647,8693,Petrol,Manual,Second Owner
Skoda,2016,11.446187640298684,121644,Petrol,Manual,Second Owner
Maruti,2007,3.0,197271,Diesel,Manual,First Owner
Nissan,2006,3.0,224899,Petrol,Manual,First Owner
Volkswagen,2022,9.367194058159194,76580,Petrol,Manual,First Owner
Mahindra,2013,17.444791628106834,15800,Diesel,Manual,Second Owner
Toyota,2016,26.26469270009582,42455,Petrol,Automatic,First Owner
Volkswagen,2008,9.082398800114522,88334,Diesel,Manual,First Owner
Toyota,2006,19.98327927516751,113579,Diesel,Manual,First Owner
Hyundai,2006,5.364409943130018,91080,Petrol,Automatic,Third Owner
Bmw,2011,42.61543841380394,27182,Diesel,Automatic,First Owner
Audi,2005,25.09536637122121,88331,Diesel,Manual,Second Owner
Hyundai,2012,12.523469698086902,76023,Petrol,Manual,First Owner
Toyota,2010,16.39738253688293,124483,Diesel,Manual,First Owner
Tata,2014,10.703766766497875,24395,Petrol,Manual,Second Owner
Bmw,2015,36.50245097458221,198691,Petrol,Manual,First Owner
Audi,2010,30.441422018357088,107168,Diesel,Manual,Second Owner
Audi,2013,36.47269849495829,82881,Petrol,Manual,First Owner
Kia,2006,3.0,227097,Petrol,Automatic,Fourth & Above Owner
Mercedes,2010,42.73931401092166,187398,Petrol,Manual,First Owner
Toyota,2022,29.121050059835753,38525,Diesel,Automatic,First Owner
Hyundai,2022,17.868235845211284,40884,Diesel,Automatic,Third Owner
Bmw,2013,44.569057932290036,5523,Petrol,Manual,Third Owner
Nissan,2021,7.818633771987568,142377,Petrol,Manual,First Owner
Kia,2014,14.082331758619386,91907,Cng,Automatic,First Owner
Tata,2007,3.0,96896,Petrol,Manual,First Owner
Tata,2020,4.9245902900053835,129802,Petrol,Manual,Second Owner
Maruti,2012,3.0,137106,Petrol,Manual,First Owner
Mahindra,2016,18.93433573665849,5238,Diesel,Manual,First Owner
Volkswagen,2016,11.37095894639275,31398,Petrol,Manual,Second Owner
Volkswagen,2010,3.0,198344,Diesel,Automatic,First Owner
Honda,2018,3.0,238598,Diesel,Manual,Third Owner
Toyota,2014,13.64271545958105,210104,Petrol,Automatic,First Owner
Skoda,2011,3.0,227022,Diesel,Manual,Fourth & Above Owner
Ford,2010,3.0,118561,Petrol,Automatic,Second Owner
Skoda,2018,4.00276897077359,207467,Petrol,Manual,Fourth & Above Owner
Kia,2009,3.0,221145,Diesel,Manual,Second Owner
Toyota,2007,10.395059380036773,223731,Petrol,Automatic,First Owner
Tata,2020,14.630281453764907,41597,Diesel,Automatic,First Owner
Kia,2010,14.70265967043205,40938,Diesel,Manual,First Owner
Bmw,2016,38.02002545237401,103637,Petrol,Automatic,Second Owner
Toyota,2017,22.472448331483402,128411,Lpg,Manual,First Owner
Bmw,2020,27.811931031427854,239744,Petrol,Manual,Second Owner
Renault,2016,5.687520202095449,82887,Petrol,Manual,Third Owner
Nissan,2017,3.0,208726,Petrol,Manual,First Owner
Tata,2020,3.0,222409,Lpg,Manual,Second Owner
Kia,2021,6.793912784156895,241483,Petrol,Manual,Third Owner
Kia,2005,13.975631348565795,51412,Petrol,Automatic,Second Owner
Mahindra,2018,17.9078235896859,64259,Petrol,Manual,First Owner
Mahindra,2008,14.979907170795927,58886,Petrol,Automatic,First Owner
Renault,2021,3.0,185121,Petrol,Manual,Second Owner
Maruti,2005,3.0,173245,Diesel,Manual,First Owner
Toyota,2009,21.626901796455126,104735,Diesel,Automatic,Second Owner
Ford,2008,15.77664696883059,26780,Diesel,Manual,Fourth & Above Owner
Kia,2015,10.076298648801972,132599,Petrol,Manual,First Owner
Kia,2005,3.0,184429,Petrol,Automatic,First Owner
Mahindra,2005,5.065973714141332,121208,Petrol,Manual,First Owner
Nissan,2014,10.915561931565232,70691,Petrol,Manual,Third Owner
Hyundai,2022,3.0,150092,Diesel,Manual,First Owner
Mercedes,2014,41.140468392399505,166929,Petrol,Manual,First Owner
Skoda,2013,5.236662879427351,149861,Diesel,Manual,Second Owner
Nissan,2016,3.0,218894,Petrol,Manual,First Owner
Tata,2014,10.338155037090287,81914,Diesel,Manual,First Owner
Nissan,2011,3.7212145209079455,154354,Diesel,Manual,Second Owner
Hyundai,2015,3.0,214481,Diesel,Manual,Second Owner
Renault,2005,13.350458239171981,57107,Diesel,Manual,First Owner
Renault,2009,3.689579266984515,73989,Diesel,Automatic,First Owner
Toyota,2017,24.88534451230627,17045,Diesel,Manual,Second Owner
Maruti,2011,3.0,96869,Petrol,Manual,First Owner
Mercedes,2005,49.39444646850223,15930,Petrol,Automatic,Fourth & Above Owner
Honda,2007,3.0,187861,Diesel,Automatic,First Owner
Bmw,2020,47.64176672743998,26758,Petrol,Manual,First Owner
Ford,2010,3.0,174643,Cng,Manual,Second Owner
Honda,2005,4.941227368234004,147055,Petrol,Manual,Second Owner
Nissan,2018,3.0,247035,Diesel,Manual,First Owner
Hyundai,2014,7.033762071001418,90313,Petrol,Manual,Second Owner
Mercedes,2013,51.18136198564571,89474,Lpg,Manual,Fourth & Above Owner
Mercedes,2021,50.953263423066005,64561,Petrol,Automatic,First Owner
Honda,2010,3.0,136631,Petrol,Manual,First Owner
Tata,2015,9.425473910526495,58730,Diesel,Manual,First Owner
Maruti,2018,11.653746893762866,32780,Petrol,Automatic,First Owner
Kia,2015,3.0,237402,Petrol,Manual,First Owner
Kia,2008,4.30464412863424,171394,Diesel,Manual,Third Owner
Tata,2017,14.01811106567148,34110,Diesel,Manual,Fourth & Above Owner
Maruti,2018,5.485988309697623,156425,Petrol,Manual,Fourth & Above Owner
Hyundai,2007,7.640995889092249,79679,Diesel,Manual,First Owner
Hyundai,2007,8.13230176182127,49114,Petrol,Manual,First Owner
Skoda,2017,11.11265206243031,120511,Petrol,Automatic,First Owner
Nissan,2007,3.0,197968,Diesel,Manual,First Owner
Mahindra,2020,24.01357073586497,5110,Petrol,Automatic,Second Owner
Mercedes,2006,48.61430219389914,92022,Petrol,Manual,First Owner
Mahindra,2022,8.578334763244111,230633,Petrol,Manual,First Owner
Honda,2017,8.3156779041803,101611,Diesel,Manual,Third Owner
Volkswagen,2012,11.041936121950753,29279,Diesel,Manual,Third Owner
Audi,2009,34.22807043103596,110003,Petrol,Manual,Third Owner
Nissan,2011,3.0,172205,Cng,Manual,First Owner
Maruti,2018,3.0,249098,Diesel,Manual,Third Owner
Mahindra,2018,11.36851508858533,159072,Petrol,Manual,First Owner
Toyota,2008,30.16669176604406,17379,Lpg,Manual,First Owner
Toyota,2014,13.288395744224482,203220,Petrol,Manual,First Owner
Kia,2022,9.710961544776836,196125,Petrol,Manual,Second Owner
Mercedes,2009,40.1904812473476,164589,Petrol,Automatic,First Owner
Toyota,2017,13.020877502818005,224652,Petrol,Manual,Third Owner
Kia,2008,3.0,193499,Diesel,Manual,First Owner
Renault,2020,8.28154634859987,61894,Diesel,Manual,Third Owner
Renault,2008,5.203391750460645,108205,Diesel,Manual,First Owner
Ford,2010,3.0,129320,Petrol,Automatic,Second Owner
Mahindra,2013,9.058994426346256,124732,Petrol,Automatic,Third Owner
Kia,2011,6.5641062952669085,161504,Petrol,Manual,Second Owner
Maruti,2008,3.0,176907,Petrol,Automatic,Third Owner
Mahindra,2016,14.919469216423101,30470,Cng,Manual,Second Owner
Tata,2005,3.0,144264,Diesel,Automatic,First Owner
Toyota,2022,29.549863172879526,14509,Diesel,Automatic,Second Owner
Hyundai,2005,3.0,130326,Diesel,Manual,Second Owner
Maruti,2011,6.5815551029027395,108433,Petrol,Automatic,First Owner
Audi,2021,37.746289177025105,55361,Petrol,Manual,First Owner
Kia,2007,3.0,247751,Petrol,Manual,First Owner
Hyundai,2006,9.510190057604378,68236,Diesel,Manual,First Owner
Toyota,2018,28.45894227546234,18799,Petrol,Manual,Fourth & Above Owner
Renault,2006,3.0,92831,Petrol,Manual,Fourth & Above Owner
Nissan,2021,3.0,190564,Diesel,Manual,Second Owner
Audi,2013,45.15400670563726,7274,Petrol,Manual,First Owner
